   #time        bulkEdge        monoEdge    contactAngle   dropletHeight       avgRadius       avgDipole            MSDx            MSDy            MSDz          MSDavg       frameFlux          dMe_dt           nMono           chi2s
01850000       49.813965      150.147578        0.942454        9.573998       57.556571       -0.062874    10668.207094     6414.686068     6833.320638     7972.071267            -177        0.218686             919        0.000000
01860000       47.390576      145.662007        0.931809        9.903791       57.799380       -0.062403    10771.995388     6472.097975     6837.856919     8027.316761             -51       -0.897114             868        0.000000
01870000       47.380911      145.647897        0.934510        9.717753       58.156275       -0.060492    10897.575269     6538.661149     6824.174135     8086.803518             -84       -0.002822             784        0.000000
01880000       49.444383      144.332932        0.941259        9.600949       58.529557       -0.054780    11019.592443     6599.463989     6842.656596     8153.904343             132       -0.262993             916        0.000000
01890000       56.254691      148.039528        0.956337        9.404115       58.948335       -0.066500    11181.494439     6668.648109     6843.004637     8231.049062             -18        0.741319             898        0.000000
01900000       58.247259      149.122593        0.961626        9.146802       59.387831       -0.063315    11344.898509     6739.172872     6875.793842     8319.955074              85        0.216613             983        0.000000
01910000       54.017784      148.937175        0.957123        8.995368       59.467727       -0.061162    11494.048026     6793.361679     6893.955141     8393.788282              75       -0.037084            1058        0.000000
01920000       53.577307      150.648930        0.955650        9.068295       59.999279       -0.061897    11672.119239     6838.541537     6910.682619     8473.781131              31        0.342351            1089        0.000000
01930000       57.932646      151.637309        0.965391        8.687608       60.334098       -0.064197    11808.443932     6883.494892     6915.388199     8535.775674               5        0.197676            1094        0.000000
01940000       64.855267      150.564485        0.973357        8.535909       60.742807       -0.057894    11955.294293     6932.853075     6858.697000     8582.281456            -485       -0.214565             609        0.000000
01950000       62.834905      148.032137        0.968867        8.901354       61.202852       -0.068591    12133.696950     6983.118647     6878.839125     8665.218240             258       -0.506470             867        0.000000
01960000       69.507453      147.876960        0.977883        8.350056       61.692403       -0.062586    12292.692546     7065.196230     6886.857464     8748.248747             -24       -0.031035             843        0.000000
01970000       49.002779      148.976682        0.937711        9.785844       61.913474       -0.057912    12432.210475     7139.578094     6904.292397     8825.360322              42        0.219944             885        0.000000
01980000       53.499020      149.114117        0.953415        9.261708       62.080003       -0.064304    12509.014876     7201.880427     6891.960309     8867.618537            -130        0.027487             755        0.000000
01990000       51.947325      149.498949        0.947084        9.563763       62.914795       -0.064720    12643.445659     7294.875591     6879.329176     8939.216809            -103        0.064139             652        0.000000
