   #time        bulkEdge        monoEdge    contactAngle   dropletHeight       avgRadius       avgDipole            MSDx            MSDy            MSDz          MSDavg       frameFlux          dMe_dt           nMono           chi2s
00360000       53.312997       86.030826        0.876032       14.704639       28.508702       -0.017572     2514.645047     2383.668401     6115.761404     3671.358284              -9       -0.009141             580        0.000000
00370000       52.583491       86.792154        0.866071       15.087130       28.663482       -0.026255     2566.552151     2392.857602     6120.324855     3693.244869               4        0.152266             584        0.000000
00380000       52.140291       86.021093        0.860939       15.253102       28.415765       -0.021582     2589.506659     2404.268532     6116.806342     3703.527178              16       -0.154212             600        0.000000
00390000       50.281232       85.643884        0.848403       15.399676       28.676375       -0.024276     2652.948550     2412.213973     6129.862209     3731.674911               9       -0.075442             609        0.000000
00400000       52.041608       88.613158        0.865184       14.991356       28.670752       -0.016684     2715.124039     2429.415512     6128.438616     3757.659389              23        0.593855             632        0.000000
00410000       50.907269       87.705917        0.854666       15.250500       29.061714       -0.020337     2798.142943     2447.649426     6133.490450     3793.094273              -6       -0.181448             626        0.000000
00420000       52.009003       88.544456        0.864375       15.027529       29.561453       -0.029043     2894.911907     2458.598482     6127.880415     3827.130268               8        0.167708             634        0.000000
00430000       53.324690       87.532872        0.868042       15.172729       29.839006       -0.017557     2982.425700     2466.217894     6136.866796     3861.836796              12       -0.202317             646        0.000000
00440000       54.118870       88.200172        0.881635       14.573510       29.946126       -0.023850     3060.147708     2471.054605     6140.215353     3890.472556             -15        0.133460             631        0.000000
00450000       53.719414       90.065898        0.880750       14.526823       29.962275       -0.024176     3140.008175     2478.880113     6146.271293     3921.719860             -17        0.373145             614        0.000000
00460000       51.111170       91.708876        0.858607       15.097283       29.822661       -0.027801     3242.990317     2498.043502     6136.464514     3959.166111              71        0.328596             685        0.000000
00470000       51.275527       94.245584        0.866358       14.720966       30.506417       -0.022024     3390.190528     2514.403667     6137.662611     4014.085602            -121        0.507342             564        0.000000
00480000       52.563552       95.265953        0.869377       14.894608       30.844808       -0.023328     3531.455316     2530.586470     6119.641007     4060.560931             -47        0.204074             517        0.000000
00490000       53.124063       95.235569        0.877483       14.570647       31.205301       -0.026174     3684.658922     2543.694677     6170.163754     4132.839118             153       -0.006077             670        0.000000
00500000       52.239682       96.147053        0.874549       14.514152       31.657573       -0.026275     3862.087821     2546.246928     6180.138998     4196.157916             -13        0.182297             657        0.000000
00510000       54.724522       95.736693        0.890684       14.158754       32.045540       -0.018368     4008.887850     2564.735858     6195.925359     4256.516356              15       -0.082072             672        0.000000
00520000       54.963732       95.955997        0.893829       14.013938       32.177610       -0.026032     4110.108073     2579.952561     6197.710917     4295.923850             -12        0.043861             660        0.000000
00530000       57.107968       94.995082        0.906136       13.672737       32.712168       -0.024891     4240.363404     2592.338584     6222.517010     4351.739666              41       -0.192183             701        0.000000
00540000       58.151879       95.591438        0.911116       13.541018       33.277314       -0.025404     4365.141663     2618.074489     6207.472677     4396.896276             -52        0.119271             649        0.000000
00550000       58.770355       96.674120        0.916305       13.282193       33.681623       -0.025100     4495.783445     2645.986913     6247.720299     4463.163552              30        0.216536             679        0.000000
00560000       59.012834       96.607615        0.917915       13.208530       34.067931       -0.028945     4648.001858     2664.460556     6260.203737     4524.222050              35       -0.013301             714        0.000000
00570000       59.897758       96.847410        0.925865       12.751896       34.104093       -0.037108     4772.591777     2685.169117     6275.388929     4577.716608              13        0.047959             727        0.000000
00580000       59.176795       96.495868        0.919694       13.103472       34.703374       -0.028701     4930.031905     2709.638090     6283.359213     4641.009736             -10       -0.070308             717        0.000000
00590000       59.488143       96.693427        0.920852       13.075489       35.094394       -0.025192     5102.948134     2725.391712     6231.031267     4686.457037            -208        0.039512             509        0.000000
00600000       60.753713       97.478461        0.925898       12.917143       35.220382       -0.026547     5153.372936     2752.806703     6210.654184     4705.611274            -182        0.157007             327        0.000000
00610000       57.114890       98.495189        0.914850       13.044098       35.285332       -0.027572     5180.269165     2767.280289     6273.786155     4740.445203             309        0.203346             636        0.000000
00620000       57.111383      100.920502        0.916229       12.941165       35.436318       -0.033721     5214.562188     2779.029492     6283.672152     4759.087944              44        0.485063             680        0.000000
00630000       56.403842      100.539272        0.916113       12.801723       35.745813       -0.027713     5249.711850     2796.478830     6298.979332     4781.723337              36       -0.076246             716        0.000000
00640000       57.984027       99.438719        0.921571       12.714322       35.877808       -0.027817     5280.188366     2819.365230     6301.334033     4800.295876              26       -0.220110             742        0.000000
00650000       55.146481      101.974647        0.911094       12.894419       36.356971       -0.030868     5331.341300     2845.748380     6302.358846     4826.482842             -22        0.507186             720        0.000000
00660000       58.720613      102.081710        0.927726       12.369921       36.831452       -0.027715     5378.686841     2867.240084     6319.589803     4855.172243               3        0.021412             723        0.000000
00670000       59.024841      102.894203        0.926343       12.541850       36.876112       -0.025392     5380.721698     2880.191184     6310.097936     4857.003606              24        0.162499             747        0.000000
00680000       59.584863      105.125239        0.928564       12.467729       37.324756       -0.031102     5427.955867     2905.161143     6323.717248     4885.611420             -17        0.446207             730        0.000000
00690000       58.805166      105.233284        0.929655       12.227700       37.493773       -0.027757     5449.178580     2928.564786     6347.681576     4908.474981              28        0.021609             758        0.000000
00700000       58.023364      104.767386        0.922284       12.666707       37.808340       -0.039452     5487.018024     2959.668182     6302.414026     4916.366744            -175       -0.093180             583        0.000000
00710000       55.779293      102.848947        0.914689       12.774092       37.881096       -0.038495     5493.670340     2978.178295     6318.401997     4930.083544              51       -0.383688             634        0.000000
00720000       59.083122      105.042118        0.928906       12.342871       37.968816       -0.029881     5519.260154     2996.839739     6346.900235     4954.333376             132        0.438634             766        0.000000
00730000       58.327770      103.156038        0.927414       12.319125       37.814338       -0.032110     5526.096769     3031.337274     6327.846470     4961.760171             -89       -0.377216             677        0.000000
00740000       53.443478      103.193592        0.909986       12.602031       37.687094       -0.033685     5529.742229     3063.501132     6363.335099     4985.526153             109        0.007511             786        0.000000
00750000       55.155144      105.634166        0.916027       12.546600       37.992005       -0.035458     5562.499116     3095.231319     6355.823115     5004.517850              -8        0.488115             778        0.000000
00760000       56.082086      106.174432        0.921391       12.343647       37.976517       -0.029955     5568.177571     3136.607346     6362.808417     5022.531111              30        0.108053             808        0.000000
00770000       56.675614      108.673566        0.920244       12.550440       38.209886       -0.033795     5602.159303     3185.133402     6348.964804     5045.419170             -84        0.499827             724        0.000000
00780000       54.780395      111.296314        0.910418       12.862387       38.130325       -0.028435     5608.041788     3224.191288     6335.495057     5055.909378              -9        0.524550             715        0.000000
00790000       55.894817      112.650588        0.916867       12.640267       38.070395       -0.038661     5610.109165     3278.995072     6339.699251     5076.267829              30        0.270855             745        0.000000
00800000       55.708176      112.585805        0.917848       12.529785       38.497714       -0.030262     5659.683042     3334.515669     6347.822219     5114.006977            -101       -0.012957             644        0.000000
00810000       50.682614      114.873407        0.895049       12.927324       38.473498       -0.028730     5659.758795     3390.570473     6381.175925     5143.835065             186        0.457520             830        0.000000
00820000       50.954106      112.974922        0.895615       12.957030       38.641877       -0.035718     5682.527384     3449.230245     6375.614998     5169.124209             -71       -0.379697             759        0.000000
00830000       52.122167      110.826287        0.901413       12.868447       38.766579       -0.039358     5702.628277     3513.682070     6359.071540     5191.793963             -43       -0.429727             716        0.000000
00840000       54.125964      113.342673        0.912225       12.596380       39.073188       -0.033362     5734.429588     3576.946172     6375.182256     5228.852672              64        0.503277             780        0.000000
00850000       55.371643      113.533639        0.921052       12.225081       39.603129       -0.035506     5769.512124     3587.174895     6397.568606     5251.418542              27        0.038193             807        0.000000
00860000       58.582406      115.811869        0.932948       11.910980       39.759273       -0.038230     5798.138254     3607.439272     6401.110351     5268.895959              30        0.455646             837        0.000000
00870000       56.151982      115.039477        0.925699       12.029787       39.884211       -0.031408     5831.336552     3630.423572     6383.787132     5281.849086            -112       -0.154478             725        0.000000
00880000       57.791399      115.443422        0.932833       11.773208       40.572504       -0.037314     5902.670814     3677.099106     6430.048863     5336.606261             132        0.080789             857        0.000000
00890000       59.450667      113.223180        0.936747       11.743836       40.858689       -0.032825     5946.625022     3718.411856     6380.957411     5348.664763            -309       -0.444048             548        0.000000
00900000       55.890763      113.271570        0.925660       11.981503       40.779618       -0.036324     5974.987244     3760.941910     6392.991046     5376.306733             172        0.009678             720        0.000000
00910000       53.698279      113.963085        0.917060       12.169252       40.841599       -0.036418     6012.018033     3792.066472     6373.532445     5392.538983            -242        0.138303             478        0.000000
00920000       53.688159      111.685952        0.916481       12.207789       40.711272       -0.037530     6027.706936     3831.072397     6389.805394     5416.194909              -3       -0.455427             475        0.000000
00930000       55.135646      112.338147        0.923729       11.978427       41.068889       -0.038540     6114.481973     3876.040058     6435.455066     5475.325699             318        0.130439             793        0.000000
00940000       53.465896      113.432586        0.917496       12.090369       41.629884       -0.037533     6204.598807     3908.160258     6448.348874     5520.369313               6        0.218888             799        0.000000
00950000       55.626954      114.614043        0.927179       11.813151       42.091254       -0.036927     6253.180159     3933.732662     6457.111424     5548.008082             -67        0.236291             732        0.000000
00960000       56.193622      115.374456        0.931067       11.617017       42.266909       -0.035536     6302.483246     3951.644337     6488.325174     5580.817585             123        0.152083             855        0.000000
00970000       56.962388      118.417416        0.932311       11.661255       42.155787       -0.032186     6328.129430     3967.274084     6483.394646     5592.932720              -2        0.608592             853        0.000000
00980000       54.213709      117.985796        0.920206       12.051456       41.742439       -0.039378     6336.549533     3982.910347     6457.420000     5592.293293             -89       -0.086324             764        0.000000
00990000       51.053894      118.486259        0.905876       12.345689       41.793127       -0.036348     6382.920507     4007.210464     6457.956298     5616.029090              -1        0.100093             763        0.000000
01000000       53.874320      118.228244        0.915486       12.316343       41.869254       -0.036763     6442.764487     4018.991585     6458.775597     5640.177223              57       -0.051603             820        0.000000
