#timest       avgRadius       avgDipole    monoExchange            MSDx            MSDy            MSDz          MSDavg 
00138000       36.936826       -0.003479        0.000000      167.567043      169.508809      954.622382       430.566078
00140000       37.084799       -0.005173        0.000000      170.373057      174.709646      961.992390       435.691697
00142000       37.196237       -0.001149        0.000000      171.994700      178.265376      970.913855       440.391310
00144000       37.287572       -0.002989        0.000000      175.655043      180.637351      979.016639       445.103011
00146000       37.350441       -0.005422        0.000000      177.678074      182.021969      990.503763       450.067935
00148000       37.407100       -0.004362        0.000000      179.488483      184.365915     1000.322431       454.725610
00150000       37.565440       -0.002701        2.000000      181.948335      186.514388     1006.789543       458.417422
00152000       37.689192       -0.005574        2.000000      183.663484      190.106539     1018.697804       464.155942
00154000       37.797693       -0.004369        2.000000      187.008694      192.234300     1037.687493       472.310163
00156000       37.952988        0.000439        2.000000      189.992710      195.598206     1050.635402       478.742106
00158000       38.060566       -0.003665        2.000000      192.610777      198.437320     1063.270195       484.772764
00160000       38.056714       -0.003055        0.000000      194.450185      199.593565     1075.739758       489.927836
00162000       38.254085       -0.006111        0.000000      198.762859      202.981238     1087.201970       496.315356
00164000       38.402269       -0.006019        0.000000      202.282817      205.759765     1101.365752       503.136111
00166000       38.513539       -0.006784        0.000000      204.101887      208.606827     1112.593593       508.434102
00168000       38.589452       -0.009265        0.000000      205.182746      210.269283     1123.975331       513.142453
00170000       38.755229       -0.002417        1.000000      207.926618      214.353252     1136.071205       519.450358
00172000       38.820186       -0.003236        1.000000      208.713167      217.987134     1147.617731       524.772677
00174000       38.931700       -0.005912        1.000000      212.197317      219.966642     1153.208226       528.457395
00176000       39.026580       -0.004370        1.000000      215.200843      222.061122     1159.507277       532.256414
00178000       39.153966       -0.006777        1.000000      218.945818      223.959199     1166.304139       536.403052
00180000       39.248797       -0.005671       -2.000000      221.624835      225.697743     1173.187425       540.170001
00182000       39.341804       -0.004555       -2.000000      223.747102      228.256420     1180.582738       544.195420
00184000       39.431357       -0.003888       -2.000000      225.861167      230.612982     1191.698176       549.390775
00186000       39.562004       -0.008197       -2.000000      229.256972      233.655019     1199.154463       554.022151
00188000       39.691419       -0.008019       -2.000000      232.372066      235.412725     1208.624913       558.803235
00190000       39.746349       -0.007546       -1.000000      234.745733      237.960849     1216.951006       563.219196
00192000       39.824636       -0.004021       -1.000000      237.039969      239.870549     1226.095389       567.668635
00194000       39.980783       -0.006384       -1.000000      240.469639      243.819426     1231.613265       571.967443
00196000       40.038881       -0.006157       -1.000000      242.757520      245.263846     1244.937700       577.653022
00198000       40.210223       -0.002331       -1.000000      246.888221      249.122748     1253.431318       583.147429
00200000       40.291662       -0.006289        0.000000      248.573388      251.563842     1261.988114       587.375115
00202000       40.326502       -0.005894        0.000000      250.283351      253.394014     1267.601599       590.426322
00204000       40.396441       -0.001697        0.000000      252.350663      255.879385     1274.514784       594.248277
00206000       40.447780       -0.005698        0.000000      253.226086      257.669940     1282.961014       597.952346
00208000       40.507341       -0.005302        0.000000      254.902065      260.705333     1291.423412       602.343604
00210000       40.567120       -0.009911        5.000000      256.731644      263.071479     1301.276459       607.026527
00212000       40.736115       -0.005421        5.000000      259.371708      267.482920     1313.194809       613.349812
00214000       40.862559       -0.008442        5.000000      262.703297      270.057243     1324.854436       619.204992
00216000       40.946662       -0.004996        5.000000      263.381676      272.199437     1336.465794       624.015636
00218000       41.098833       -0.006636        5.000000      265.330502      276.579182     1347.315480       629.741721
00220000       41.260726       -0.005564        1.000000      266.986059      281.419587     1356.232647       634.879431
00222000       41.417732       -0.004658        1.000000      270.571594      284.817688     1361.884192       639.091158
00224000       41.470184       -0.004270        1.000000      272.937769      285.470441     1367.452428       641.953546
00226000       41.576739       -0.005474        1.000000      275.498127      287.563086     1370.481818       644.514344
00228000       41.705146       -0.004652        1.000000      279.032278      290.133036     1373.891799       647.685704
00230000       41.778839       -0.007797        0.000000      281.820929      292.108020     1376.612829       650.180593
00232000       41.775723       -0.006996        0.000000      283.639327      292.418233     1381.735048       652.597536
00234000       41.855335       -0.006343        0.000000      285.204517      295.492120     1385.971889       655.556175
00236000       41.937109       -0.006121        0.000000      288.239002      297.319311     1390.826975       658.795096
00238000       41.966265       -0.006695        0.000000      289.916539      298.603862     1400.430290       662.983564
00240000       42.044790       -0.010044        2.000000      291.372416      301.861661     1414.328663       669.187580
00242000       42.165896       -0.007607        2.000000      294.142448      306.249649     1421.117177       673.836425
00244000       42.268732       -0.006015        2.000000      295.367759      310.340754     1428.078761       677.929091
00246000       42.338468       -0.008198        2.000000      297.555319      313.163949     1439.269039       683.329436
00248000       42.473843       -0.007095        2.000000      300.755244      318.175538     1449.766965       689.565916
00250000       42.570667       -0.009139       -1.000000      302.544316      322.012590     1455.992838       693.516581
00252000       42.638726       -0.009825       -1.000000      306.307946      324.218727     1461.425875       697.317516
00254000       42.658803       -0.007250       -1.000000      309.505350      324.938427     1467.191243       700.545007
00256000       42.643752       -0.008037       -1.000000      311.007259      326.339339     1470.890197       702.745598
00258000       42.676571       -0.006469       -1.000000      312.776894      328.343770     1477.398479       706.173048
00260000       42.753882       -0.007493        0.000000      314.148080      330.813881     1484.222412       709.728124
00262000       42.877476       -0.007885        0.000000      317.770111      333.989002     1489.256975       713.672029
00264000       42.959724       -0.005704        0.000000      320.515060      337.366599     1494.062118       717.314592
00266000       43.002984       -0.005535        0.000000      321.732123      339.854445     1499.953869       720.513479
00268000       43.024653       -0.004372        0.000000      323.397954      341.847183     1504.942588       723.395908
00270000       43.156964       -0.007661        2.000000      326.252485      345.271246     1506.230513       725.918082
00272000       43.251007       -0.003523        2.000000      327.662745      347.988075     1504.487162       726.712661
00274000       43.353999       -0.008316        2.000000      329.967403      351.705343     1506.359917       729.344221
00276000       43.409970       -0.008326        2.000000      331.843816      354.591449     1515.915053       734.116773
00278000       43.499499       -0.009369        2.000000      335.286597      358.091787     1524.552358       739.310247
00280000       43.629809       -0.004559        0.000000      338.869425      361.228160     1528.496485       742.864690
00282000       43.752506       -0.009602        0.000000      342.437732      363.769034     1534.805688       747.004151
00284000       43.903955       -0.006786        0.000000      344.239762      368.358831     1546.706970       753.101854
00286000       44.003112       -0.009548        0.000000      346.947734      370.939241     1555.555300       757.814091
00288000       44.121975       -0.008078        0.000000      349.031681      374.946961     1564.189370       762.722671
00290000       44.177626       -0.007766        2.000000      350.975295      377.469517     1576.352117       768.265643
00292000       44.336421       -0.008511        2.000000      356.247284      380.123787     1583.724774       773.365282
00294000       44.498288       -0.008974        2.000000      360.300590      383.875526     1592.676238       778.950785
00296000       44.593194       -0.008952        2.000000      363.019426      386.894506     1603.089083       784.334339
00298000       44.732210       -0.010306        2.000000      366.622984      388.708468     1612.695795       789.342416
00300000       44.869705       -0.008804        1.000000      370.524472      391.189973     1622.114652       794.609699
00302000       44.968287       -0.009365        1.000000      372.650635      394.181248     1630.925154       799.252345
00304000       45.070284       -0.008113        1.000000      374.672418      397.343545     1636.108718       802.708227
00306000       45.126161       -0.008405        1.000000      376.304108      398.491236     1639.347621       804.714321
00308000       45.204524       -0.008720        1.000000      377.320190      400.438377     1640.536358       806.098308
00310000       45.278654       -0.007871       -1.000000      377.777225      404.456534     1650.146325       810.793361
00312000       45.342654       -0.006925       -1.000000      381.366387      405.573711     1652.667487       813.202528
00314000       45.437006       -0.008102       -1.000000      385.651464      408.648869     1652.221163       815.507165
00316000       45.523496       -0.008581       -1.000000      390.757169      410.338559     1652.079397       817.725042
00318000       45.610781       -0.007230       -1.000000      391.713439      413.729440     1653.937176       819.793352
00320000       45.650161       -0.006036       -4.000000      393.011072      415.452277     1656.664242       821.709197
00322000       45.640326       -0.009288       -4.000000      395.002519      416.165504     1657.085411       822.751145
00324000       45.642190       -0.010278       -4.000000      396.628133      416.085678     1660.021369       824.245060
00326000       45.664311       -0.006422       -4.000000      398.353853      418.039573     1665.857697       827.417041
00328000       45.686654       -0.008176       -4.000000      399.711001      419.585067     1674.165612       831.153894
00330000       45.819911       -0.007882        0.000000      403.392197      422.783996     1676.469568       834.215254
00332000       45.888083       -0.007671        0.000000      406.438051      423.021013     1683.134907       837.531324
00334000       45.939686       -0.007413        0.000000      409.020170      423.611163     1691.157251       841.262861
00336000       45.996872       -0.008075        0.000000      411.313488      425.587323     1697.527929       844.809580
00338000       46.086761       -0.007086        0.000000      414.902361      428.230906     1701.813119       848.315462
00340000       46.170475       -0.008829        1.000000      415.630989      432.602787     1708.865099       852.366292
00342000       46.247933       -0.011295        1.000000      418.408957      434.052492     1711.953281       854.804910
00344000       46.311211       -0.010121        1.000000      419.889702      436.840200     1717.101776       857.943893
00346000       46.434506       -0.007596        1.000000      422.598012      442.555266     1725.428168       863.527148
00348000       46.624640       -0.012033        1.000000      428.068078      448.336113     1732.794879       869.733023
00350000       46.782983       -0.007693        3.000000      433.981956      451.847033     1742.568438       876.132476
00352000       46.830257       -0.010165        3.000000      435.451582      454.494941     1750.890328       880.278950
00354000       46.902219       -0.008988        3.000000      436.993303      457.868318     1753.057965       882.639862
00356000       46.860180       -0.010323        3.000000      436.840664      457.720069     1748.445157       881.001963
00358000       46.807573       -0.010335        3.000000      436.907445      456.711439     1748.338728       880.652537
00360000       46.840380       -0.009849        0.000000      437.390973      458.804782     1744.375034       880.190263
00362000       46.921854       -0.010499        0.000000      440.486512      461.137170     1748.184566       883.269416
00364000       46.975513       -0.010108        0.000000      443.290522      462.497418     1750.605913       885.464618
00366000       47.023986       -0.009752        0.000000      445.918252      464.105518     1752.108663       887.377478
