#timest       avgRadius       avgDipole    monoExchange            MSDx            MSDy            MSDz          MSDavg 
00650000       52.749277       -0.012654        2.000000      714.114491      738.939934     2109.551186      1187.535204
00652000       52.843589       -0.012683        2.000000      715.188654      743.641622     2113.718836      1190.849704
00654000       52.898408       -0.013271        2.000000      716.114634      747.177142     2117.861745      1193.717840
00656000       52.893356       -0.012663        2.000000      715.613864      751.222436     2120.599166      1195.811822
00658000       52.875583       -0.014084        2.000000      713.325044      754.380089     2122.599414      1196.768182
00660000       52.914288       -0.013372       -5.000000      715.621571      756.413423     2123.158979      1198.397991
00662000       52.953931       -0.011028       -5.000000      719.470834      756.719231     2126.644169      1200.944745
00664000       53.018897       -0.012546       -5.000000      721.512629      759.171750     2127.177399      1202.620593
00666000       53.087940       -0.011419       -5.000000      725.251757      761.875495     2124.200913      1203.776055
00668000       53.099684       -0.012444       -5.000000      729.065926      761.130067     2124.276688      1204.824227
00670000       53.138987       -0.014289        0.000000      731.867676      761.597117     2124.651590      1206.038794
00672000       53.121723       -0.014302        0.000000      734.229942      759.569878     2123.793312      1205.864378
00674000       53.116134       -0.012947        0.000000      735.872132      761.009243     2120.348488      1205.743288
00676000       53.138857       -0.014437        0.000000      736.880935      761.545874     2119.858216      1206.095008
00678000       53.137508       -0.012606        0.000000      737.524113      764.504598     2119.631584      1207.220098
00680000       53.144285       -0.012557       -6.000000      739.280825      764.799961     2124.327145      1209.469310
00682000       53.206603       -0.012278       -6.000000      741.916661      766.674808     2126.575439      1211.722303
00684000       53.283848       -0.011898       -6.000000      744.703904      769.419707     2130.069767      1214.731126
00686000       53.337417       -0.012499       -6.000000      747.688344      772.054318     2132.935128      1217.559264
00688000       53.331189       -0.014233       -6.000000      749.606842      772.971568     2134.650864      1219.076425
00690000       53.374904       -0.014759        0.000000      754.035938      773.010270     2138.385256      1221.810488
00692000       53.454142       -0.013638        0.000000      758.194663      774.616154     2139.015021      1223.941946
00694000       53.513050       -0.012070        0.000000      761.609954      775.928343     2146.828609      1228.122302
00696000       53.567765       -0.013145        0.000000      765.243890      776.899373     2150.676682      1230.939982
00698000       53.630318       -0.015048        0.000000      768.101913      777.874638     2154.251670      1233.409407
00700000       53.762553       -0.015046        0.000000      770.278878      784.244569     2160.671165      1238.398204
00702000       53.797756       -0.013829        0.000000      771.471881      786.974158     2162.816543      1240.420860
00704000       53.816423       -0.014611        0.000000      771.320729      789.680202     2163.144689      1241.381873
00706000       53.897435       -0.016932        0.000000      774.166731      793.367846     2166.353778      1244.629452
00708000       53.915600       -0.015557        0.000000      776.533048      794.506146     2166.475957      1245.838384
00710000       53.945296       -0.012597        0.000000      776.350600      796.761000     2166.943021      1246.684874
00712000       54.055933       -0.015377        0.000000      779.642815      800.529084     2162.114358      1247.428752
00714000       54.075778       -0.011104        0.000000      778.849285      802.929156     2163.239889      1248.339443
00716000       54.158277       -0.015125        0.000000      782.235768      805.567229     2163.924628      1250.575875
00718000       54.244949       -0.014852        0.000000      784.210645      811.102609     2161.656798      1252.323351
00720000       54.323386       -0.012912       -2.000000      786.299322      815.691213     2163.211852      1255.067462
00722000       54.354224       -0.015388       -2.000000      786.139814      819.537017     2165.121098      1256.932643
00724000       54.320837       -0.014450       -2.000000      787.420441      819.181072     2167.413093      1258.004869
00726000       54.343021       -0.013182       -2.000000      791.007046      819.237943     2165.767942      1258.670977
00728000       54.346509       -0.012761       -2.000000      794.881911      818.235791     2172.639571      1261.919091
00730000       54.357549       -0.013906        0.000000      795.639786      820.718087     2175.566202      1263.974692
00732000       54.457007       -0.016466        0.000000      800.455692      824.585404     2178.645606      1267.895567
00734000       54.465463       -0.015020        0.000000      801.664510      826.341373     2183.557754      1270.521212
00736000       54.507309       -0.014594        0.000000      803.248020      831.392133     2184.227977      1272.956043
00738000       54.555393       -0.013251        0.000000      803.628337      834.468660     2187.858579      1275.318525
00740000       54.619536       -0.014775       -4.000000      806.488690      836.440495     2184.319599      1275.749594
00742000       54.622694       -0.014055       -4.000000      808.542041      835.932598     2189.137455      1277.870698
00744000       54.708881       -0.014878       -4.000000      813.841432      837.722959     2192.706952      1281.423781
00746000       54.729784       -0.012272       -4.000000      815.018174      839.036250     2195.407173      1283.153866
00748000       54.759078       -0.013824       -4.000000      817.934007      840.941233     2196.153328      1285.009523
00750000       54.761175       -0.013214        4.000000      820.895877      842.109100     2196.116398      1286.373792
00752000       54.762428       -0.015996        4.000000      822.048672      843.528956     2195.677605      1287.085077
00754000       54.763224       -0.012583        4.000000      822.878849      844.106882     2198.353587      1288.446440
00756000       54.845076       -0.011236        4.000000      823.953989      849.085467     2195.653012      1289.564156
00758000       54.937008       -0.015094        4.000000      825.350895      854.761230     2196.811973      1292.308033
00760000       55.061378       -0.013563       -3.000000      831.232817      858.426849     2194.042942      1294.567536
00762000       55.092738       -0.012667       -3.000000      835.293600      860.670184     2192.937814      1296.300533
00764000       55.100452       -0.014457       -3.000000      836.487086      862.127015     2192.266383      1296.960161
00766000       55.105628       -0.015086       -3.000000      836.631215      864.531961     2192.348353      1297.837176
00768000       55.089471       -0.013283       -3.000000      835.589330      868.227027     2197.154500      1300.323619
00770000       55.102598       -0.014978       -1.000000      836.789579      871.866380     2198.754335      1302.470098
00772000       55.161122       -0.013911       -1.000000      839.316227      877.001992     2197.722182      1304.680134
00774000       55.205445       -0.012914       -1.000000      841.481893      881.352643     2203.600602      1308.811713
00776000       55.200667       -0.015275       -1.000000      841.991751      883.649221     2206.959354      1310.866775
00778000       55.216457       -0.014224       -1.000000      840.551632      889.665107     2212.593561      1314.270100
00780000       55.225029       -0.012814        1.000000      841.603392      893.430886     2212.734437      1315.922905
00782000       55.270568       -0.012114        1.000000      842.792078      898.312322     2215.993397      1319.032599
00784000       55.349428       -0.014066        1.000000      844.483391      903.390404     2218.768918      1322.214238
00786000       55.439805       -0.016905        1.000000      847.042239      907.246963     2222.794595      1325.694599
00788000       55.506947       -0.011943        1.000000      850.236236      910.423315     2227.635315      1329.431622
00790000       55.626835       -0.013363        1.000000      854.601226      916.101171     2228.759024      1333.153807
00792000       55.611154       -0.011483        1.000000      854.870187      917.690415     2231.680153      1334.746919
00794000       55.574841       -0.015354        1.000000      855.162923      918.890117     2230.243477      1334.765506
00796000       55.561020       -0.013357        1.000000      856.567798      919.879483     2232.162221      1336.203167
00798000       55.603765       -0.014212        1.000000      860.963719      919.214233     2229.365965      1336.514639
00800000       55.616224       -0.015113        2.000000      864.080630      921.634718     2229.114879      1338.276743
00802000       55.676678       -0.015504        2.000000      867.823597      923.974764     2230.085855      1340.628072
00804000       55.764894       -0.017103        2.000000      871.286473      927.172414     2228.282501      1342.247129
00806000       55.827026       -0.015589        2.000000      873.101080      932.393200     2229.404113      1344.966131
00808000       55.851311       -0.011992        2.000000      873.132506      936.874371     2228.360271      1346.122383
00810000       55.887485       -0.013122       -5.000000      873.577899      943.237050     2227.586072      1348.133674
00812000       56.008656       -0.014162       -5.000000      881.982438      946.893033     2232.586187      1353.820553
00814000       56.033743       -0.014095       -5.000000      884.139522      950.426406     2234.703897      1356.423275
00816000       56.080365       -0.017009       -5.000000      886.591130      954.086010     2239.673589      1360.116910
00818000       56.075581       -0.012435       -5.000000      887.509071      956.473665     2243.223946      1362.402227
00820000       56.097316       -0.013888        4.000000      888.449586      961.065562     2242.661908      1364.059019
00822000       56.132516       -0.013966        4.000000      888.948252      964.519655     2242.803336      1365.423748
00824000       56.113519       -0.012111        4.000000      890.995045      964.391744     2243.385719      1366.257502
00826000       56.082245       -0.013956        4.000000      890.458415      966.728528     2244.960102      1367.382348
00828000       56.018438       -0.014942        4.000000      887.837673      967.803301     2242.419978      1366.020317
00830000       56.050623       -0.012617        3.000000      890.234859      971.267802     2243.958498      1368.487053
00832000       56.081255       -0.016618        3.000000      891.780037      973.119880     2245.135227      1370.011715
00834000       56.140215       -0.016545        3.000000      895.127843      977.299084     2249.437592      1373.954840
00836000       56.200749       -0.014683        3.000000      901.135377      979.312663     2251.844339      1377.430793
00838000       56.252174       -0.012787        3.000000      904.907429      982.548860     2254.758039      1380.738109
00840000       56.320346       -0.013995       -3.000000      906.624213      988.422921     2254.328759      1383.125298
00842000       56.418405       -0.015039       -3.000000      911.125826      994.479059     2257.210621      1387.605169
00844000       56.491523       -0.014501       -3.000000      916.182524      997.956294     2259.662296      1391.267038
00846000       56.543713       -0.013603       -3.000000      919.004544     1003.006915     2260.726128      1394.245862
00848000       56.555797       -0.014539       -3.000000      919.285813     1007.198856     2257.162317      1394.548995
00850000       56.556746       -0.015453        0.000000      921.976411     1010.148679     2257.932116      1396.685735
00852000       56.644183       -0.016274        0.000000      925.825191     1017.905304     2255.259542      1399.663346
00854000       56.656079       -0.016189        0.000000      924.831644     1023.644166     2261.052307      1403.176039
00856000       56.760671       -0.015909        0.000000      927.804330     1029.147674     2261.035122      1405.995709
00858000       56.842222       -0.015945        0.000000      931.479243     1034.672640     2264.341824      1410.164569
00860000       56.902508       -0.013973       -1.000000      935.937863     1037.398393     2268.118977      1413.818411
00862000       56.943767       -0.014871       -1.000000      941.538957     1038.706587     2268.593444      1416.279663
00864000       56.963143       -0.015341       -1.000000      942.768413     1043.467689     2274.998553      1420.411552
00866000       56.993941       -0.015163       -1.000000      943.709352     1048.218829     2275.600641      1422.509608
00868000       56.989309       -0.016309       -1.000000      945.063542     1049.065091     2276.798008      1423.642214
00870000       56.994256       -0.015446       -1.000000      947.004779     1052.612043     2274.374767      1424.663863
00872000       56.965197       -0.015809       -1.000000      946.186209     1054.503179     2278.794999      1426.494796
00874000       56.998636       -0.016983       -1.000000      946.166551     1059.232841     2280.082045      1428.493813
00876000       56.991815       -0.016192       -1.000000      948.952916     1060.404297     2280.165456      1429.840890
00878000       57.028312       -0.016586       -1.000000      951.954521     1063.109882     2282.625228      1432.563210
00880000       56.999058       -0.014738        0.000000      953.416533     1065.174391     2283.936666      1434.175863
00882000       56.966293       -0.013234        0.000000      951.249738     1070.682563     2285.385797      1435.772700
00884000       56.976159       -0.015030        0.000000      951.511408     1075.789979     2284.976211      1437.425866
00886000       57.024684       -0.018141        0.000000      951.696529     1083.225744     2285.830044      1440.250772
00888000       57.100801       -0.014192        0.000000      955.737051     1089.980096     2285.192248      1443.636465
00890000       57.154002       -0.013726        1.000000      958.373011     1095.857199     2283.243030      1445.824413
00892000       57.193906       -0.014556        1.000000      961.124434     1101.255058     2279.493768      1447.291087
00894000       57.168872       -0.014486        1.000000      960.678980     1104.823419     2280.749085      1448.750495
00896000       57.168189       -0.013957        1.000000      964.329346     1105.588853     2279.972473      1449.963557
00898000       57.182098       -0.016148        1.000000      967.790661     1106.120395     2281.411932      1451.774329
00900000       57.184055       -0.013534       -5.000000      967.184157     1112.053186     2280.868653      1453.368665
00902000       57.225778       -0.014577       -5.000000      967.118154     1117.780228     2281.562967      1455.487116
00904000       57.262632       -0.014163       -5.000000      969.206085     1123.756177     2284.246552      1459.069605
00906000       57.180669       -0.016375       -5.000000      967.925329     1124.130312     2288.662496      1460.239379
00908000       57.210722       -0.013543       -5.000000      968.097245     1129.628589     2289.195682      1462.307172
00910000       57.283605       -0.013339        2.000000      973.186073     1134.317422     2286.575125      1464.692873
00912000       57.216132       -0.014713        2.000000      971.421759     1135.850337     2290.435365      1465.902487
00914000       57.311282       -0.015398        2.000000      975.474525     1140.276553     2292.032112      1469.261063
00916000       57.382425       -0.016721        2.000000      980.132647     1145.076690     2290.741630      1471.983656
00918000       57.395596       -0.014888        2.000000      982.682405     1146.491708     2292.069074      1473.747729
00920000       57.457781       -0.016624        0.000000      987.512173     1149.030041     2295.266296      1477.269504
00922000       57.470720       -0.016986        0.000000      990.967063     1151.980608     2298.051298      1480.332990
00924000       57.524775       -0.014334        0.000000      996.052307     1155.644827     2300.181643      1483.959593
00926000       57.488137       -0.014983        0.000000      996.175436     1156.311042     2299.737639      1484.074706
00928000       57.501616       -0.012387        0.000000      999.998038     1158.275942     2300.850184      1486.374721
00930000       57.565356       -0.013899        1.000000     1002.578475     1163.828755     2301.840168      1489.415799
00932000       57.544467       -0.013864        1.000000     1003.085450     1167.212979     2300.080706      1490.126379
00934000       57.595557       -0.016054        1.000000     1004.487534     1171.924081     2297.761305      1491.390974
00936000       57.642173       -0.014762        1.000000     1006.607328     1177.986864     2296.865485      1493.819892
00938000       57.685885       -0.015939        1.000000     1007.474343     1184.372113     2293.167049      1495.004502
00940000       57.708579       -0.016004        0.000000     1006.630940     1191.643112     2292.092254      1496.788769
00942000       57.729333       -0.015091        0.000000     1009.233740     1196.054500     2296.816495      1500.701578
00944000       57.763459       -0.018190        0.000000     1010.141993     1201.814532     2298.208888      1503.388471
00946000       57.836509       -0.018056        0.000000     1011.263362     1209.798254     2303.600739      1508.220785
00948000       57.857959       -0.015623        0.000000     1009.957178     1216.932701     2302.668362      1509.852747
00950000       57.851010       -0.014932        3.000000     1009.227185     1221.957970     2303.844009      1511.676388
00952000       57.850784       -0.015472        3.000000     1011.280347     1226.011086     2306.846264      1514.712566
00954000       57.865139       -0.014900        3.000000     1009.580072     1233.748085     2309.604884      1517.644347
00956000       57.860377       -0.012759        3.000000     1009.668985     1236.970229     2308.988268      1518.542494
00958000       57.819137       -0.016223        3.000000     1006.949783     1243.029855     2304.560795      1518.180144
00960000       57.793916       -0.014478        0.000000     1006.409137     1247.119753     2305.509116      1519.679335
00962000       57.831674       -0.014670        0.000000     1008.220874     1252.343065     2308.124906      1522.896282
00964000       57.811187       -0.014878        0.000000     1008.308574     1254.437568     2310.383740      1524.376628
00966000       57.779227       -0.017789        0.000000     1008.764226     1252.859904     2310.517344      1524.047158
00968000       57.783684       -0.017379        0.000000     1013.153787     1252.968551     2310.304525      1525.475621
00970000       57.804702       -0.015993        0.000000     1014.442883     1254.157185     2309.089055      1525.896374
00972000       57.827958       -0.014751        0.000000     1015.310963     1254.324496     2310.409748      1526.681736
00974000       57.841298       -0.016634        0.000000     1014.885233     1256.869953     2313.989637      1528.581608
00976000       57.928472       -0.015130        0.000000     1019.718981     1259.248593     2309.884589      1529.617388
00978000       58.000004       -0.016278        0.000000     1024.288893     1260.477655     2311.149025      1531.971858
00980000       58.040768       -0.016912        0.000000     1026.259009     1264.646365     2312.871530      1534.592301
00982000       58.089272       -0.018064        0.000000     1026.615383     1266.797760     2316.815455      1536.742866
00984000       58.159580       -0.017053        0.000000     1029.367011     1272.164825     2314.226169      1538.586002
00986000       58.168439       -0.015035        0.000000     1030.202573     1271.168497     2313.212980      1538.194683
00988000       58.154712       -0.016328        0.000000     1031.548107     1271.328621     2313.792076      1538.889601
00990000       58.107919       -0.015704        2.000000     1028.626229     1271.085017     2313.371363      1537.694203
00992000       58.045423       -0.016381        2.000000     1027.831126     1267.096381     2314.142064      1536.356523
00994000       58.140323       -0.016980        2.000000     1035.309125     1268.126804     2318.097274      1540.511068
00996000       58.125407       -0.016919        2.000000     1036.234087     1266.954576     2322.051465      1541.746710
00998000       58.205672       -0.015551        2.000000     1039.243353     1270.849535     2322.244031      1544.112306
01000000       58.289317       -0.015773        2.000000     1042.321702     1273.927132     2324.537652      1546.928829
01000000       58.289317       -0.015773        2.000000     1042.321702     1273.927132     2324.537652      1546.928829
